,link_id,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,actual_tt,link_flows,v/c
0,1,1,2,25900,6,6,0.15,4,0,0,1,6.00174432596523,5434.33050888125,20.98%
1,2,1,3,23403,4,4,0.15,4,0,0,1,4.01557514048135,9393.80873015873,40.14%
2,3,2,1,25900,6,6,0.15,4,0,0,1,6.00232947239,5841.89206349209,22.56%
3,4,2,6,4958,5,5,0.15,4,0,0,1,6.41413580855555,5809.83751395181,117.18%
4,5,3,1,23403,4,4,0.15,4,0,0,1,4.0130430320175,8986.24717554788,38.40%
5,6,3,4,17111,4,4,0.15,4,0,0,1,4.46690125806484,16071.0347342685,93.92%
6,7,3,12,23403,4,4,0.15,4,0,0,1,4.06478181304087,13415.1951473654,57.32%
7,8,4,3,17111,4,4,0.15,4,0,0,1,4.58861786537395,17029.2663631508,99.52%
8,9,4,5,17783,2,2,0.15,4,0,0,1,2.40167671919697,19129.0710437922,107.57%
9,10,4,11,4909,6,6,0.15,4,0,0,1,8.24970460286816,6172.53809523811,125.74%
10,11,5,4,17783,2,2,0.15,4,0,0,1,2.43049498107028,19463.3117062102,109.45%
11,12,5,6,4948,4,4,0.15,4,0,0,1,9.56044064906521,8633.14789194771,174.48%
12,13,5,9,10000,5,5,0.15,4,0,0,1,10.506325555549,16460.7703288248,164.61%
13,14,6,2,4958,5,5,0.15,4,0,0,1,6.85468495410814,6217.39906856265,125.40%
14,15,6,5,4948,4,4,0.15,4,0,0,1,9.07952427926161,8440.10089836858,170.58%
15,16,6,8,4899,2,2,0.15,4,0,0,1,15.7012600183262,12735.5367341622,259.96%
16,17,7,8,7842,3,3,0.15,4,0,0,1,5.86573738755424,12457.5548190698,158.86%
17,18,7,18,23403,2,2,0.15,4,0,0,1,2.05530973988486,15335.2769269618,65.53%
18,19,8,6,4899,2,2,0.15,4,0,0,1,16.6479703276093,12950.0512951939,264.34%
19,20,8,7,7842,3,3,0.15,4,0,0,1,6.07324759890921,12677.1928571428,161.66%
20,21,8,9,5050,10,10,0.15,4,0,0,1,15.293312376387,6921.50352387583,137.06%
21,22,8,16,5046,5,5,0.15,4,0,0,1,10.4968883175694,8302.54348019399,164.54%
22,23,9,5,10000,5,5,0.15,4,0,0,1,11.2464922017999,16988.0579848219,169.88%
23,24,9,8,5050,10,10,0.15,4,0,0,1,15.9795979224583,7135.69960317457,141.30%
