,link_id,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,actual_tt
0,1,1,2,25900,6,6,0.15,4,0,0,1,6.001939507359194
1,2,1,3,23403,4,4,0.15,4,0,0,1,4.018050514038721
2,3,2,1,25900,6,6,0.15,4,0,0,1,6.002473217020222
3,4,2,6,4958,5,5,0.15,4,0,0,1,6.027708451614638
4,5,3,1,23403,4,4,0.15,4,0,0,1,4.025896327440181
5,6,3,4,17111,4,4,0.15,4,0,0,1,4.280500834345402
6,7,3,12,23403,4,4,0.15,4,0,0,1,4.144729880354687
7,8,4,3,17111,4,4,0.15,4,0,0,1,4.33099782461677
8,9,4,5,17783,2,2,0.15,4,0,0,1,2.098074154058187
9,10,4,11,4909,6,6,0.15,4,0,0,1,6.828990767996407
10,11,5,4,17783,2,2,0.15,4,0,0,1,2.1180390657718573
11,12,5,6,4948,4,4,0.15,4,0,0,1,6.281523557509399
12,13,5,9,10000,5,5,0.15,4,0,0,1,6.764686531919653
13,14,6,2,4958,5,5,0.15,4,0,0,1,6.289373529036267
14,15,6,5,4948,4,4,0.15,4,0,0,1,5.446770389537302
15,16,6,8,4899,2,2,0.15,4,0,0,1,5.428353693664402
16,17,7,8,7842,3,3,0.15,4,0,0,1,4.33187385499058
17,18,7,18,23403,2,2,0.15,4,0,0,1,2.0062727174405
18,19,8,6,4899,2,2,0.15,4,0,0,1,4.9428483775051415
19,20,8,7,7842,3,3,0.15,4,0,0,1,3.4859860745261817
20,21,8,9,5050,10,10,0.15,4,0,0,1,15.04835809893141
21,22,8,16,5046,5,5,0.15,4,0,0,1,6.2222120860283905
22,23,9,5,10000,5,5,0.15,4,0,0,1,7.791486328573947
23,24,9,8,5050,10,10,0.15,4,0,0,1,10.624821510515508
24,25,9,10,13916,3,3,0.15,4,0,0,1,3.7667626556739187
25,26,10,9,13916,3,3,0.15,4,0,0,1,3.816459366168817
26,27,10,11,10000,5,5,0.15,4,0,0,1,10.162975124532814
27,28,10,15,13512,6,6,0.15,4,0,0,1,9.019271429239824
28,29,10,16,4855,4,4,0.15,4,0,0,1,5.12462077132894
29,30,10,17,4994,8,8,0.15,4,0,0,1,11.291017512970088
30,31,11,4,4909,6,6,0.15,4,0,0,1,6.755886276307715
31,32,11,10,10000,5,5,0.15,4,0,0,1,12.952367639482683
32,33,11,12,4909,6,6,0.15,4,0,0,1,23.010460094331904
33,34,11,14,4877,4,4,0.15,4,0,0,1,8.586745459261685
34,35,12,3,23403,4,4,0.15,4,0,0,1,4.1549635239901415
35,36,12,11,4909,6,6,0.15,4,0,0,1,15.131095197542201
36,37,12,13,25900,3,3,0.15,4,0,0,1,3.0193261206577113
37,38,13,12,25900,3,3,0.15,4,0,0,1,3.015044221659106
38,39,13,24,5091,4,4,0.15,4,0,0,1,9.314837448012579
39,40,14,11,4877,4,4,0.15,4,0,0,1,20.464051266460018
40,41,14,15,5128,5,5,0.15,4,0,0,1,9.654769180214663
41,42,14,23,4925,4,4,0.15,4,0,0,1,7.573116957509768
42,43,15,10,13512,6,6,0.15,4,0,0,1,8.531961334175003
43,44,15,14,5128,5,5,0.15,4,0,0,1,15.090313879401085
44,45,15,19,14565,3,3,0.15,4,0,0,1,3.2131070283590333
45,46,15,22,9599,3,3,0.15,4,0,0,1,4.786904489835786
46,47,16,8,5046,5,5,0.15,4,0,0,1,5.613386904504576
47,48,16,10,4855,4,4,0.15,4,0,0,1,5.171789810753074
48,49,16,17,5230,2,2,0.15,4,0,0,1,3.184783713385821
49,50,16,18,19680,3,3,0.15,4,0,0,1,3.1966740976426102
50,51,17,10,4994,8,8,0.15,4,0,0,1,11.28362692139688
51,52,17,16,5230,2,2,0.15,4,0,0,1,2.917807742106863
52,53,17,19,4824,2,2,0.15,4,0,0,1,3.3601194486490487
53,54,18,7,23403,2,2,0.15,4,0,0,1,2.0100576005881563
54,55,18,16,19680,3,3,0.15,4,0,0,1,3.0377992731799566
55,56,18,20,23403,4,4,0.15,4,0,0,1,4.12188609033994
56,57,19,15,14565,3,3,0.15,4,0,0,1,3.61716456184904
57,58,19,17,4824,2,2,0.15,4,0,0,1,3.3604875272488117
58,59,19,20,5003,4,4,0.15,4,0,0,1,5.498574643958074
59,60,20,18,23403,4,4,0.15,4,0,0,1,4.032386396649901
60,61,20,19,5003,4,4,0.15,4,0,0,1,12.719892337702063
61,62,20,21,5060,6,6,0.15,4,0,0,1,11.379134052774285
62,63,20,22,5076,5,5,0.15,4,0,0,1,6.660370775035035
63,64,21,20,5060,6,6,0.15,4,0,0,1,8.297530729624931
64,65,21,22,5230,2,2,0.15,4,0,0,1,6.588421159420176
65,66,21,24,4885,3,3,0.15,4,0,0,1,4.479100447926719
66,67,22,15,9599,3,3,0.15,4,0,0,1,4.93395100011166
67,68,22,20,5076,5,5,0.15,4,0,0,1,7.176297885705801
68,69,22,21,5230,2,2,0.15,4,0,0,1,5.836186084592464
69,70,22,23,5000,4,4,0.15,4,0,0,1,5.525127362334342
70,71,23,14,4925,4,4,0.15,4,0,0,1,10.590053751518987
71,72,23,22,5000,4,4,0.15,4,0,0,1,6.1068035619350844
72,73,23,24,5079,2,2,0.15,4,0,0,1,3.456470794524053
73,74,24,13,5091,4,4,0.15,4,0,0,1,7.894130520653663
74,75,24,21,4885,3,3,0.15,4,0,0,1,3.856574577735997
75,76,24,23,5079,2,2,0.15,4,0,0,1,5.099468247075807
