,link_id,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,actual_tt
0,1,1,2,25900,6,6,0.15,4,0,0,1,2.0005486452578363
1,2,1,3,23403,4,4,0.15,4,0,0,1,1.3360515276163263
2,3,2,1,25900,6,6,0.15,4,0,0,1,2.000230800248995
3,4,2,6,4958,5,5,0.15,4,0,0,1,2.408247383858547
4,5,3,1,23403,4,4,0.15,4,0,0,1,1.337772635420251
5,6,3,4,17111,4,4,0.15,4,0,0,1,1.4606751477138802
6,7,3,12,23403,4,4,0.15,4,0,0,1,1.3549373668007845
7,8,4,3,17111,4,4,0.15,4,0,0,1,1.5432889848510265
8,9,4,5,17783,2,2,0.15,4,0,0,1,0.7946773436871578
9,10,4,11,4909,6,6,0.15,4,0,0,1,2.48782920836949
10,11,5,4,17783,2,2,0.15,4,0,0,1,0.8075336431331275
11,12,5,6,4948,4,4,0.15,4,0,0,1,3.491231773631211
12,13,5,9,10000,5,5,0.15,4,0,0,1,3.719923320315863
13,14,6,2,4958,5,5,0.15,4,0,0,1,2.0354835853908844
14,15,6,5,4948,4,4,0.15,4,0,0,1,2.3494167982199796
15,16,6,8,4899,2,2,0.15,4,0,0,1,5.084382212451125
16,17,7,8,7842,3,3,0.15,4,0,0,1,1.8901778374043428
17,18,7,18,23403,2,2,0.15,4,0,0,1,0.6877472609770319
18,19,8,6,4899,2,2,0.15,4,0,0,1,10.436638829665238
19,20,8,7,7842,3,3,0.15,4,0,0,1,2.1144022421395716
20,21,8,9,5050,10,10,0.15,4,0,0,1,6.8377359486979135
21,22,8,16,5046,5,5,0.15,4,0,0,1,3.8803330963361966
22,23,9,5,10000,5,5,0.15,4,0,0,1,4.874179658887908
23,24,9,8,5050,10,10,0.15,4,0,0,1,4.959145769096851
24,25,9,10,13916,3,3,0.15,4,0,0,1,2.0476928147282685
25,26,10,9,13916,3,3,0.15,4,0,0,1,2.1757522260072646
26,27,10,11,10000,5,5,0.15,4,0,0,1,4.453230113467963
27,28,10,15,13512,6,6,0.15,4,0,0,1,4.562464230233756
28,29,10,16,4855,4,4,0.15,4,0,0,1,7.0266995205921905
29,30,10,17,4994,8,8,0.15,4,0,0,1,4.961240228695438
30,31,11,4,4909,6,6,0.15,4,0,0,1,3.4042958468446165
31,32,11,10,10000,5,5,0.15,4,0,0,1,4.124419524451716
32,33,11,12,4909,6,6,0.15,4,0,0,1,3.5983194286001883
33,34,11,14,4877,4,4,0.15,4,0,0,1,4.498929479128363
34,35,12,3,23403,4,4,0.15,4,0,0,1,1.3492186946856144
35,36,12,11,4909,6,6,0.15,4,0,0,1,4.909647410054989
36,37,12,13,25900,3,3,0.15,4,0,0,1,1.0144499375963107
37,38,13,12,25900,3,3,0.15,4,0,0,1,1.0157420177100112
38,39,13,24,5091,4,4,0.15,4,0,0,1,6.53432863382024
39,40,14,11,4877,4,4,0.15,4,0,0,1,4.508820155888656
40,41,14,15,5128,5,5,0.15,4,0,0,1,4.187521791297998
41,42,14,23,4925,4,4,0.15,4,0,0,1,2.6596442817852233
42,43,15,10,13512,6,6,0.15,4,0,0,1,4.580952235815987
43,44,15,14,5128,5,5,0.15,4,0,0,1,4.080735202232832
44,45,15,19,14565,3,3,0.15,4,0,0,1,1.465765982960468
45,46,15,22,9599,3,3,0.15,4,0,0,1,2.795974956444179
46,47,16,8,5046,5,5,0.15,4,0,0,1,3.4663125592813593
47,48,16,10,4855,4,4,0.15,4,0,0,1,8.15147876619269
48,49,16,17,5230,2,2,0.15,4,0,0,1,2.958403717507443
49,50,16,18,19680,3,3,0.15,4,0,0,1,1.0833841899135965
50,51,17,10,4994,8,8,0.15,4,0,0,1,5.713528004357684
51,52,17,16,5230,2,2,0.15,4,0,0,1,2.815246858661677
52,53,17,19,4824,2,2,0.15,4,0,0,1,2.2627194071860544
53,54,18,7,23403,2,2,0.15,4,0,0,1,0.6842314406835313
54,55,18,16,19680,3,3,0.15,4,0,0,1,1.0886249727761768
55,56,18,20,23403,4,4,0.15,4,0,0,1,1.425582360831892
56,57,19,15,14565,3,3,0.15,4,0,0,1,1.4146824767931585
57,58,19,17,4824,2,2,0.15,4,0,0,1,2.5331216087301356
58,59,19,20,5003,4,4,0.15,4,0,0,1,3.0614760128825647
59,60,20,18,23403,4,4,0.15,4,0,0,1,1.415568665686585
60,61,20,19,5003,4,4,0.15,4,0,0,1,2.929479836345068
61,62,20,21,5060,6,6,0.15,4,0,0,1,2.586727612792987
62,63,20,22,5076,5,5,0.15,4,0,0,1,3.2532465715130843
63,64,21,20,5060,6,6,0.15,4,0,0,1,2.785495472320152
64,65,21,22,5230,2,2,0.15,4,0,0,1,1.3628857740145488
65,66,21,24,4885,3,3,0.15,4,0,0,1,4.174502828950571
66,67,22,15,9599,3,3,0.15,4,0,0,1,2.960954033742223
67,68,22,20,5076,5,5,0.15,4,0,0,1,2.4666345704939596
68,69,22,21,5230,2,2,0.15,4,0,0,1,1.5922560104363968
69,70,22,23,5000,4,4,0.15,4,0,0,1,4.092440076666179
70,71,23,14,4925,4,4,0.15,4,0,0,1,2.732200944743152
71,72,23,22,5000,4,4,0.15,4,0,0,1,3.823292416925384
72,73,23,24,5079,2,2,0.15,4,0,0,1,1.4780267161478524
73,74,24,13,5091,4,4,0.15,4,0,0,1,6.9292254687663455
74,75,24,21,4885,3,3,0.15,4,0,0,1,3.9687165497616177
75,76,24,23,5079,2,2,0.15,4,0,0,1,1.4269616769971387
